Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
RWT,Puidoux - Palézieux  : Wako lot 2.1,PUI,PAL,,,,,1/1/2023,6/29/2024,78,Sperre Strecke Nacht,0.5,"46.5427635573, 6.83787521203",Palézieux,2
RWT,Palézieux : Wako lot 2.2,,,,,,,1/1/2024,12/29/2024,52,,,,,404
? : ne correspond pas à Railsys,,,,,,,,,,,,,,,404
RWT,Viaduc de la Paudèze,PU,CU,0.85,4.144,-3.294,"EP terminée, B. Miraton",1/8/2024,12/31/2025,104,Sperre Strecke 24 Std,0.5,"46.4885617736, 6.72715145406",Cully,3
RWT,"MX-TER, PS Rue d'Etraz",MX,TER,23.806,28.644,-4.838,"EP treminée, D. Luce",1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"46.4263815833, 6.9227068988",Territet,2
RWT,FbE24 MX-VIL_V_633_637,VIL,MX,28.61,24.027,4.583,,7/8/2024,4/13/2025,40,Sperre Strecke Nacht,0.25,"46.4358843229, 6.91044006944",Montreux,2
RWT,"Brig, tunnel du Simplon - assainissement du tube 1",BR,STDG,157.729,166.869,-9.14,1 tube en 2023 1 tube en 2024,1/1/2023,12/2/2023,48,Sperre Strecke 24 Std,0.5,"46.2723377046, 8.09349478399",Staz della Galleria Sempione,3
RWT,Chavornay - boucle Travys,CHV,CHV,,,,Acerra Mariangela / prévu SAP 2023 +3mio 2024,1/1/2023,5/18/2024,72,Sperre Strecke Nacht,0.25,"46.7100845475, 6.56816325981",Chavornay,2
RWT,"LHE, assainissement pont Le Paradis",LHE,LHE,44.65,,,Frédéric Restani,1/1/2024,12/29/2024,52,Sperre Strecke Tag,0.5,"47.1894917627, 7.22539576798",La Heutte,1
RWT,,,,,,,,,,,,,,,404
ROT,AS35 ZSEB Kreuzungsgleis G 750m,ZSEB,ZSEB,,,,Anpassung gesamt Bhf Anlage,1/1/2025,11/16/2027,150,Umsetzung,0.25,"47.4187500474, 8.54466018901",Zürich Seebach,0
ROT,ZUE Gesamterneuerung Brücke km 1.89 (Ev. Hardbrücke?),ZUE,ZUE,,,,,1/1/2031,11/30/2032,100,Umsetzung,,"47.3781766923, 8.54021233623",Zürich HB,0
ROT,Unterführung Langstrasse,ZUE,,,,,Projekt Stadt ZUE: Anpassung Kabelkanal,1/1/2023,11/30/2024,100,Sperre Bahnhof Nacht,,,,5
