bpFrom,bpTo,geoshape
PUI,PAL,"{""geometry"": {""coordinates"": [[46.493841, 6.837875, 0.0, 1672527600.0], [46.542764, 6.837875, 0.0, 1719612000.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""PUI"", ""bpTo"": ""PAL"", ""index"": 0}, ""type"": ""Feature""}"
PU,CU,"{""geometry"": {""coordinates"": [[46.510924, 6.727151, 0.0, 1704668400.0], [46.488562, 6.727151, 0.0, 1767135600.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""PU"", ""bpTo"": ""CU"", ""index"": 1}, ""type"": ""Feature""}"
MX,TER,"{""geometry"": {""coordinates"": [[46.435884, 6.922707, 0.0, 1704063600.0], [46.426382, 6.922707, 0.0, 1735426800.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""MX"", ""bpTo"": ""TER"", ""index"": 2}, ""type"": ""Feature""}"
VIL,MX,"{""geometry"": {""coordinates"": [[46.398371, 6.91044, 0.0, 1720389600.0], [46.435884, 6.91044, 0.0, 1744495200.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""VIL"", ""bpTo"": ""MX"", ""index"": 3}, ""type"": ""Feature""}"
BR,STDG,"{""geometry"": {""coordinates"": [[46.319566, 8.093495, 0.0, 1672527600.0], [46.272338, 8.093495, 0.0, 1701471600.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""BR"", ""bpTo"": ""STDG"", ""index"": 4}, ""type"": ""Feature""}"
CHV,CHV,"{""geometry"": {""coordinates"": [[46.710085, 6.568163, 0.0, 1672527600.0], [46.710085, 6.568163, 0.0, 1715983200.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""CHV"", ""bpTo"": ""CHV"", ""index"": 5}, ""type"": ""Feature""}"
LHE,LHE,"{""geometry"": {""coordinates"": [[47.189492, 7.225396, 0.0, 1704063600.0], [47.189492, 7.225396, 0.0, 1735426800.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""LHE"", ""bpTo"": ""LHE"", ""index"": 6}, ""type"": ""Feature""}"
ZSEB,ZSEB,"{""geometry"": {""coordinates"": [[47.418846, 8.547362, 0.0, 1735686000.0], [47.418846, 8.547362, 0.0, 1826319600.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""ZSEB"", ""bpTo"": ""ZSEB"", ""index"": 7}, ""type"": ""Feature""}"
ZUE,ZUE,"{""geometry"": {""coordinates"": [[47.381261, 8.52889, 0.0, 1924988400.0], [47.381261, 8.52889, 0.0, 1985382000.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""ZUE"", ""bpTo"": ""ZUE"", ""index"": 8}, ""type"": ""Feature""}"
KLW,KLW,"{""geometry"": {""coordinates"": [[47.43529, 8.349648, 0.0, 1813615200.0], [47.43529, 8.349648, 0.0, 1922396400.0]], ""type"": ""LineString""}, ""properties"": {""bpFrom"": ""KLW"", ""bpTo"": ""KLW"", ""index"": 9}, ""type"": ""Feature""}"
