,Paths
0,"['PUI', 'MRL', 'PAL']"
3,"['PU', 'TAPI', 'LTY', 'VTE', 'CU']"
4,"['MX', 'TER']"
5,"['VIL', 'VEY', 'TER', 'MX']"
6,"['BR', 'BRTU', 'STDG']"
7,['CHV']
8,['LHE']
10,['ZSEB']
11,['ZUE']
13,['KLW']
14,['SCHL']
15,['SCHL']
16,"['KLW', 'LANG', 'MELH']"
17,['ZWOL']
18,['TW']
20,"['ZSTH', 'ZTB']"
21,"['ZSTH', 'ZTB']"
22,"['KUES', 'ERLB', 'WIN', 'HERL', 'FEWA', 'ML', 'UET', 'MAEN', 'STAE', 'UER', 'FB', 'KPT', 'RWNO', 'RW']"
23,['ERLB']
24,"['NID', 'LGB', 'LU', 'DSB', 'RUET', 'LINB', 'LIN']"
25,['GLB']
26,['HRD']
27,['FMS']
28,"['ZUE', 'ZLST', 'ZAU', 'ZKOL', 'NIDB', 'TWNO', 'TW', 'ORD', 'HG', 'AU', 'WAE', 'RI', 'HAF', 'BAE', 'FRB', 'PF', 'ALTD', 'LA', 'SIB', 'SCBU', 'RG', 'BIL', 'ZB', 'WN', 'MH', 'TIEF', 'MG', 'UNT', 'MOLS', 'WAL', 'FMS', 'MELS', 'SA', 'BRAG', 'MF', 'ROR', 'LQ', 'ZIZS', 'CH']"
29,['FMS']
30,"['OP', 'ZFH']"
31,"['OP', 'ZFH']"
32,"['ZFH', 'DORF']"
33,"['WS', 'DTL', 'HURW', 'HUER']"
34,['W']
35,['HUER']
36,['FF']
37,['MUEL']
38,"['SLG', 'BGL', 'WFKV', 'WF']"
39,"['WGR', 'WHE', 'RAET', 'SCHK', 'SNT', 'EL', 'AD', 'GUN', 'ESL', 'SIR']"
40,['GSS']
41,['SGWI']
42,"['WGR', 'WHE', 'RAET', 'SCHK', 'SNT', 'EL', 'AD', 'GUN', 'ESL', 'SIR', 'WIWE', 'WIGB', 'WIL', 'WILM', 'WILO', 'SCHZ', 'ALG', 'UZW', 'FLA', 'BUDZ', 'GSS', 'SGWI', 'SGBR', 'SGW', 'SGGB', 'SG']"
43,"['GUN', 'ESL', 'SIR', 'WIWE', 'WIGB', 'WIL', 'WILM', 'WILO', 'SCHZ', 'ALG', 'UZW', 'FLA', 'BUDZ', 'GSS']"
44,"['GSS', 'GSSO', 'ARN', 'HPT', 'BZS', 'SIT', 'BZN', 'KRA', 'SLG']"
45,['HGT']
46,"['WTOE', 'WWUE', 'PFU', 'EMB']"
47,"['UST', 'AAT']"
48,['UST']
49,"['EF', 'IL', 'FETI', 'FET', 'WITZ', 'PFZ', 'KN', 'WZ']"
50,"['SEU', 'DIH', 'TLH', 'OSS', 'STM', 'EW']"
51,['FT']
52,['KR']
53,['EW']
54,"['STR', 'EZ']"
55,['TAEN']
56,"['SHAU', 'LENG']"
57,"['UZ', 'KAB']"
58,['LUET']
59,"['IM', 'BRM', 'GD', 'STNS', 'STN', 'SCHW', 'BRU']"
60,['GD']
61,"['GD', 'STNS', 'STN', 'SCHW']"
62,['GOE']
63,['AI']
64,['FA']
65,['LAV']
66,"['GIDI', 'OS', 'CLA', 'CASN', 'CAST']"
67,"['BEL', 'BELD', 'GIUN', 'GIU']"
68,"['BEL', 'BELD', 'GIUN', 'GIU']"
69,"['VEZB', 'LG', 'LGP', 'LGPC', 'SMAC', 'MDE', 'MAR', 'CAP']"
70,['LG']
71,['MDE']
72,"['GREL', 'DUG']"
73,['TH']
74,['WBOL']
75,['BET']
76,['SEL']
77,"['LTH', 'LTG', 'LTHW', 'HB']"
78,['ZOL']
79,"['LN', 'TSCH', 'WIG', 'ESCH', 'SCHH']"
80,['LN']
81,['DAG']
82,"['ZF', 'BRIT', 'REID', 'DAG', 'NEBN', 'NEB', 'WAU', 'STER', 'SS', 'SSS', 'OBK', 'NO', 'SEM', 'RBG']"
83,['OBK']
84,['LZ']
85,['SAF']
86,['DK']
87,['DKRB']
88,"['RU', 'LB', 'GEXI', 'OTH', 'MAEG', 'GMT', 'MELH', 'LANG', 'KLW']"
89,"['AA', 'AAGB', 'AAO', 'ROHS', 'RU']"
90,['OL']
91,"['GSK', 'RKSW', 'RK', 'RKSO', 'BRGL', 'IM', 'KUE']"
92,"['BG', 'BGOS', 'TG']"
93,['TG']
94,['TG']
95,['LP']
97,"['GEAP', 'CHNE']"
98,['GE']
99,"['MOR', 'TOL', 'STP']"
100,['LS']
101,['ROS']
102,['FRI']
103,"['ROC', 'AIG']"
104,"['ST', 'AIG']"
105,"['PT', 'DAY']"
106,['CORN']
107,"['ZSEB', 'ZAF', 'ZGUB', 'REG', 'BUD', 'BUDI', 'BUHW', 'OFR', 'OFI', 'OF', 'WUER', 'WE']"
108,"['ZSEB', 'ZAF', 'ZGUB', 'REG', 'BUD', 'BUDI', 'BUHW', 'OFR', 'OFI', 'OF', 'WUER']"
109,['WUER']
110,['DT']
111,['ZAS']
112,['WE']
113,"['KLW', 'WUER', 'WE']"
114,['TW']
115,"['SIB', 'SCBU']"
116,['PF']
117,['ZOER']
118,"['GLB', 'TALR', 'RUEM', 'OGL', 'NG', 'BUE']"
119,"['LOT', 'JES', 'JE']"
120,['BUE']
121,['RZ']
122,['UNT']
123,"['UNT', 'MG', 'TIEF', 'MH']"
124,['FMS']
125,['CH']
126,['ZSTH']
127,['WS']
128,['KL']
129,"['W', 'SCAL', 'OWT', 'OWTO', 'WD', 'RIK', 'ISL', 'FF', 'FEL', 'HM', 'MUEL', 'MAER', 'WF']"
130,['OWT']
131,['WF']
133,"['SLG', 'ERL', 'OA', 'AW', 'RHW', 'RH']"
134,['WIL']
135,['WIL']
136,['SGBR']
137,['SG']
138,['SG']
139,"['W', 'SCAL', 'WGR', 'WHE', 'RAET', 'SCHK', 'SNT', 'EL', 'AD', 'GUN', 'ESL', 'SIR', 'WIWE', 'WIGB', 'WIL', 'WILM', 'WILO', 'SCHZ', 'ALG', 'UZW', 'FLA', 'BUDZ', 'GSS', 'SGWI', 'SGBR', 'SGW', 'SGGB', 'SG']"
140,['RS']
141,['SMG']
142,['WZ']
143,['OSS']
144,"['SH', 'FT']"
145,['EZ']
146,"['WIL', 'WNOR', 'BRO']"
147,['KRB']
148,"['BERG', 'AHAU', 'SHAU']"
150,['BRU']
151,['ER']
152,['ER']
153,['AP']
154,['AP']
155,"['BEL', 'BELD', 'GIUN', 'GIU']"
156,"['BEL', 'BELD', 'GIUN', 'GIU']"
157,"['BEL', 'BELD', 'GIUN', 'GIU']"
158,"['VEZB', 'LG', 'LGP', 'LGPC', 'SMAC', 'MDE', 'MAR', 'CAP']"
159,"['BAA', 'BAAN', 'BAAL', 'ZG']"
160,"['RUB', 'MS', 'WCH']"
161,"['OST', 'GUE', 'GUES', 'RUB']"
162,"['UTI', 'THAB', 'TH']"
163,['HAE']
164,['SW']
165,['LEN']
166,"['SO', 'INKV', 'WANZ']"
167,['LTH']
168,"['OL', 'RTR', 'RTRH', 'RANS', 'MGT', 'ROG', 'LTH']"
169,"['LN', 'TSCH', 'WIG', 'ESCH', 'SCHH']"
170,"['OL', 'ABO']"
171,['ABO']
172,['SS']
173,"['FMUE', 'EBR']"
174,['OL']
175,['BS']
176,"['LB', 'HU']"
177,['SCOE']
178,"['DK', 'SCOE', 'SCOO', 'WOES', 'AA']"
