,geshape
0,"['{""type"": ""LineString"", ""coordinates"": [[6.76568652394, 46.493841211], [6.78564538921, 46.5083980984]]}', '{""type"": ""LineString"", ""coordinates"": [[6.78564538921, 46.5083980984], [6.83787521203, 46.5427635573]]}']"
3,"['{""type"": ""LineString"", ""coordinates"": [[6.68194993025, 46.5058400164], [6.65946820484, 46.5109236596]]}', '{""type"": ""LineString"", ""coordinates"": [[6.69060945008, 46.5037867325], [6.68194993025, 46.5058400164]]}', '{""type"": ""LineString"", ""coordinates"": [[6.69060945008, 46.5037867325], [6.70728698549, 46.4953367286]]}', '{""type"": ""LineString"", ""coordinates"": [[6.70728698549, 46.4953367286], [6.72715145406, 46.4885617736]]}']"
4,"['{""type"": ""LineString"", ""coordinates"": [[6.91044006944, 46.4358843229], [6.9227068988, 46.4263815833]]}']"
5,"['{""type"": ""LineString"", ""coordinates"": [[6.92786073044, 46.4176211776], [6.9270031734, 46.3983714707]]}', '{""type"": ""LineString"", ""coordinates"": [[6.9227068988, 46.4263815833], [6.92786073044, 46.4176211776]]}', '{""type"": ""LineString"", ""coordinates"": [[6.91044006944, 46.4358843229], [6.9227068988, 46.4263815833]]}']"
6,"['{""type"": ""LineString"", ""coordinates"": [[7.9880947138, 46.3194227419], [8.00694223311, 46.3245679148]]}', '{""type"": ""LineString"", ""coordinates"": [[8.00694223311, 46.3245679148], [8.09349478399, 46.2723377046]]}']"
7,"['{""type"": ""LineString"", ""coordinates"": [[6.55933482681, 46.6876798742], [6.56816325981, 46.7100845475]]}', '{""type"": ""LineString"", ""coordinates"": [[6.56816325981, 46.7100845475], [6.58065583082, 46.7276733658]]}']"
8,"['{""type"": ""LineString"", ""coordinates"": [[7.22539576798, 47.1894917627], [7.24702478154, 47.1897391375]]}', '{""type"": ""LineString"", ""coordinates"": [[7.16876361824, 47.1951483393], [7.22539576798, 47.1894917627]]}']"
10,"['{""type"": ""LineString"", ""coordinates"": [[8.50858258494, 47.4209089813], [8.54466018901, 47.4187500474]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54904766734, 47.4157681408], [8.54466018901, 47.4187500474]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54466018901, 47.4187500474], [8.55735218124, 47.4245717549]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54466018901, 47.4187500474], [8.54413989655, 47.4115300323]]}']"
11,"['{""type"": ""LineString"", ""coordinates"": [[8.54021233623, 47.3781766923], [8.52888957824, 47.3812610413]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54021233623, 47.3781766923], [8.54848908807, 47.3666097487]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54021233623, 47.3781766923], [8.53525000895, 47.4025700165]]}']"
13,"['{""type"": ""LineString"", ""coordinates"": [[8.35421393402, 47.4333288409], [8.3439699837, 47.4376299636]]}', '{""type"": ""LineString"", ""coordinates"": [[8.35421393402, 47.4333288409], [8.36430519505, 47.4293895115]]}', '{""type"": ""LineString"", ""coordinates"": [[8.35421393402, 47.4333288409], [8.36961236254, 47.4279153986]]}', '{""type"": ""LineString"", ""coordinates"": [[8.35421393402, 47.4333288409], [8.38697740542, 47.4213547326]]}', '{""type"": ""LineString"", ""coordinates"": [[8.35421393402, 47.4333288409], [8.35766785904, 47.4457594532]]}', '{""type"": ""LineString"", ""coordinates"": [[8.33308450786, 47.4375009353], [8.35421393402, 47.4333288409]]}']"
14,"['{""type"": ""LineString"", ""coordinates"": [[8.42044184995, 47.3988787163], [8.44724501036, 47.3991763687]]}', '{""type"": ""LineString"", ""coordinates"": [[8.44724501036, 47.3991763687], [8.46256172893, 47.398832642]]}']"
15,"['{""type"": ""LineString"", ""coordinates"": [[8.42044184995, 47.3988787163], [8.44724501036, 47.3991763687]]}', '{""type"": ""LineString"", ""coordinates"": [[8.44724501036, 47.3991763687], [8.46256172893, 47.398832642]]}']"
16,"['{""type"": ""LineString"", ""coordinates"": [[8.33308450786, 47.4375009353], [8.35421393402, 47.4333288409]]}', '{""type"": ""LineString"", ""coordinates"": [[8.27636329083, 47.4280750785], [8.33308450786, 47.4375009353]]}']"
17,"['{""type"": ""LineString"", ""coordinates"": [[8.53082052143, 47.3640988005], [8.53360098792, 47.34744029]]}', '{""type"": ""LineString"", ""coordinates"": [[8.53360098792, 47.34744029], [8.54801636547, 47.324431597]]}']"
18,"['{""type"": ""LineString"", ""coordinates"": [[8.56117719727, 47.298968673], [8.56476944831, 47.2959813712]]}', '{""type"": ""LineString"", ""coordinates"": [[8.56476944831, 47.2959813712], [8.57846060111, 47.27967633]]}', '{""type"": ""LineString"", ""coordinates"": [[8.56476944831, 47.2959813712], [8.57765280195, 47.2767318248]]}']"
20,"['{""type"": ""LineString"", ""coordinates"": [[8.54848908807, 47.3666097487], [8.56138988846, 47.3501246373]]}']"
21,"['{""type"": ""LineString"", ""coordinates"": [[8.54848908807, 47.3666097487], [8.56138988846, 47.3501246373]]}']"
22,"['{""type"": ""LineString"", ""coordinates"": [[8.58063778944, 47.3191565828], [8.59152235647, 47.3057919232]]}', '{""type"": ""LineString"", ""coordinates"": [[8.59152235647, 47.3057919232], [8.59898832243, 47.2972078361]]}', '{""type"": ""LineString"", ""coordinates"": [[8.59898832243, 47.2972078361], [8.61273348833, 47.2818266004]]}', '{""type"": ""LineString"", ""coordinates"": [[8.61273348833, 47.2818266004], [8.62106382568, 47.2773482379]]}', '{""type"": ""LineString"", ""coordinates"": [[8.62106382568, 47.2773482379], [8.64431191081, 47.2698111422]]}', '{""type"": ""LineString"", ""coordinates"": [[8.64431191081, 47.2698111422], [8.67878704546, 47.259030122]]}', '{""type"": ""LineString"", ""coordinates"": [[8.67878704546, 47.259030122], [8.69234616957, 47.2534240091]]}', '{""type"": ""LineString"", ""coordinates"": [[8.69234616957, 47.2534240091], [8.72165283054, 47.2405272079]]}', '{""type"": ""LineString"", ""coordinates"": [[8.72165283054, 47.2405272079], [8.75262523013, 47.2358608014]]}', '{""type"": ""LineString"", ""coordinates"": [[8.75262523013, 47.2358608014], [8.78349775224, 47.2392035255]]}', '{""type"": ""LineString"", ""coordinates"": [[8.78349775224, 47.2392035255], [8.81431098566, 47.238397692]]}', '{""type"": ""LineString"", ""coordinates"": [[8.81431098566, 47.238397692], [8.82285997733, 47.2253799652]]}', '{""type"": ""LineString"", ""coordinates"": [[8.82285997733, 47.2253799652], [8.81674495291, 47.2248871845]]}']"
23,"['{""type"": ""LineString"", ""coordinates"": [[8.59152235647, 47.3057919232], [8.59898832243, 47.2972078361]]}', '{""type"": ""LineString"", ""coordinates"": [[8.58063778944, 47.3191565828], [8.59152235647, 47.3057919232]]}']"
24,"['{""type"": ""LineString"", ""coordinates"": [[9.05927648353, 46.9858945338], [9.04694440369, 46.9757428885]]}', '{""type"": ""LineString"", ""coordinates"": [[9.04694440369, 46.9757428885], [9.03902248657, 46.9650706832]]}', '{""type"": ""LineString"", ""coordinates"": [[9.03902248657, 46.9650706832], [9.02437343467, 46.9461808151]]}', '{""type"": ""LineString"", ""coordinates"": [[9.02437343467, 46.9461808151], [9.01303891656, 46.9345459656]]}', '{""type"": ""LineString"", ""coordinates"": [[9.01303891656, 46.9345459656], [9.00249138427, 46.9283958293]]}', '{""type"": ""LineString"", ""coordinates"": [[9.00249138427, 46.9283958293], [8.9977948688, 46.9255635637]]}']"
25,"['{""type"": ""LineString"", ""coordinates"": [[8.55885413606, 47.4308267427], [8.55735218124, 47.4245717549]]}', '{""type"": ""LineString"", ""coordinates"": [[8.55885413606, 47.4308267427], [8.54904766734, 47.4157681408]]}', '{""type"": ""LineString"", ""coordinates"": [[8.55885413606, 47.4308267427], [8.54413989655, 47.4115300323]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54948429914, 47.4366639443], [8.55885413606, 47.4308267427]]}']"
26,"['{""type"": ""LineString"", ""coordinates"": [[8.48896269022, 47.3914830997], [8.51144653427, 47.3915284925]]}', '{""type"": ""LineString"", ""coordinates"": [[8.5378299822, 47.4081000422], [8.51144653427, 47.3915284925]]}', '{""type"": ""LineString"", ""coordinates"": [[8.51712625407, 47.385197873], [8.51144653427, 47.3915284925]]}']"
27,"['{""type"": ""LineString"", ""coordinates"": [[9.34792927358, 47.0966166348], [9.41775823249, 47.053746248]]}', '{""type"": ""LineString"", ""coordinates"": [[9.31298151857, 47.1198735895], [9.34792927358, 47.0966166348]]}']"
28,"['{""type"": ""LineString"", ""coordinates"": [[8.54021233623, 47.3781766923], [8.52888957824, 47.3812610413]]}', '{""type"": ""LineString"", ""coordinates"": [[8.52005715565, 47.3788621308], [8.52888957824, 47.3812610413]]}', '{""type"": ""LineString"", ""coordinates"": [[8.52005715565, 47.3788621308], [8.5189627476, 47.366088515]]}', '{""type"": ""LineString"", ""coordinates"": [[8.5189627476, 47.366088515], [8.54129600179, 47.3122078958]]}', '{""type"": ""LineString"", ""coordinates"": [[8.54129600179, 47.3122078958], [8.56117719727, 47.298968673]]}', '{""type"": ""LineString"", ""coordinates"": [[8.56117719727, 47.298968673], [8.56476944831, 47.2959813712]]}', '{""type"": ""LineString"", ""coordinates"": [[8.56476944831, 47.2959813712], [8.57846060111, 47.27967633]]}', '{""type"": ""LineString"", ""coordinates"": [[8.57846060111, 47.27967633], [8.59691702338, 47.2614833923]]}', '{""type"": ""LineString"", ""coordinates"": [[8.59691702338, 47.2614833923], [8.64372592143, 47.2468179083]]}', '{""type"": ""LineString"", ""coordinates"": [[8.64372592143, 47.2468179083], [8.67521627099, 47.2293072774]]}', '{""type"": ""LineString"", ""coordinates"": [[8.67521627099, 47.2293072774], [8.70748131523, 47.2083749885]]}', '{""type"": ""LineString"", ""coordinates"": [[8.70748131523, 47.2083749885], [8.7188519756, 47.2007289189]]}', '{""type"": ""LineString"", ""coordinates"": [[8.7188519756, 47.2007289189], [8.72717425433, 47.2009815971]]}', '{""type"": ""LineString"", ""coordinates"": [[8.72717425433, 47.2009815971], [8.75621861337, 47.2073107259]]}', '{""type"": ""LineString"", ""coordinates"": [[8.75621861337, 47.2073107259], [8.77812981895, 47.2029974431]]}', '{""type"": ""LineString"", ""coordinates"": [[8.77812981895, 47.2029974431], [8.82290588686, 47.1939670295]]}', '{""type"": ""LineString"", ""coordinates"": [[8.82290588686, 47.1939670295], [8.85271520237, 47.1900684227]]}', '{""type"": ""LineString"", ""coordinates"": [[8.85271520237, 47.1900684227], [8.90071365596, 47.1826706698]]}', '{""type"": ""LineString"", ""coordinates"": [[8.90071365596, 47.1826706698], [8.93878098816, 47.1763898659]]}', '{""type"": ""LineString"", ""coordinates"": [[8.93878098816, 47.1763898659], [8.98232269767, 47.1726981989]]}', '{""type"": ""LineString"", ""coordinates"": [[8.98232269767, 47.1726981989], [9.02991826857, 47.152192936]]}', '{""type"": ""LineString"", ""coordinates"": [[9.02991826857, 47.152192936], [9.06005168288, 47.1361559024]]}', '{""type"": ""LineString"", ""coordinates"": [[9.06005168288, 47.1361559024], [9.09471050742, 47.1299210164]]}', '{""type"": ""LineString"", ""coordinates"": [[9.09471050742, 47.1299210164], [9.17301810587, 47.1178402707]]}', '{""type"": ""LineString"", ""coordinates"": [[9.17301810587, 47.1178402707], [9.18902042385, 47.1157111984]]}', '{""type"": ""LineString"", ""coordinates"": [[9.18902042385, 47.1157111984], [9.21504186874, 47.1131748376]]}', '{""type"": ""LineString"", ""coordinates"": [[9.21504186874, 47.1131748376], [9.25501833667, 47.1138568354]]}', '{""type"": ""LineString"", ""coordinates"": [[9.25501833667, 47.1138568354], [9.27681658589, 47.1129906506]]}', '{""type"": ""LineString"", ""coordinates"": [[9.27681658589, 47.1129906506], [9.31298151857, 47.1198735895]]}', '{""type"": ""LineString"", ""coordinates"": [[9.31298151857, 47.1198735895], [9.34792927358, 47.0966166348]]}', '{""type"": ""LineString"", ""coordinates"": [[9.34792927358, 47.0966166348], [9.41775823249, 47.053746248]]}', '{""type"": ""LineString"", ""coordinates"": [[9.41775823249, 47.053746248], [9.4453999633, 47.0453599813]]}', '{""type"": ""LineString"", ""coordinates"": [[9.4453999633, 47.0453599813], [9.50522497707, 47.0103094511]]}', '{""type"": ""LineString"", ""coordinates"": [[9.50522497707, 47.0103094511], [9.52921615576, 47.0038405611]]}', '{""type"": ""LineString"", ""coordinates"": [[9.52921615576, 47.0038405611], [9.5354239988, 46.997925536]]}', '{""type"": ""LineString"", ""coordinates"": [[9.5354239988, 46.997925536], [9.55404467894, 46.9674404286]]}', '{""type"": ""LineString"", ""coordinates"": [[9.55404467894, 46.9674404286], [9.55956972666, 46.9322124113]]}', '{""type"": ""LineString"", ""coordinates"": [[9.55956972666, 46.9322124113], [9.52893771993, 46.853084163]]}']"
29,"['{""type"": ""LineString"", ""coordinates"": [[9.34792927358, 47.0966166348], [9.41775823249, 47.053746248]]}', '{""type"": ""LineString"", ""coordinates"": [[9.31298151857, 47.1198735895], [9.34792927358, 47.0966166348]]}']"
30,"['{""type"": ""LineString"", ""coordinates"": [[8.56179472865, 47.4299548445], [8.56240184756, 47.4503856566]]}']"
31,"['{""type"": ""LineString"", ""coordinates"": [[8.56179472865, 47.4299548445], [8.56240184756, 47.4503856566]]}']"
32,"['{""type"": ""LineString"", ""coordinates"": [[8.56240184756, 47.4503856566], [8.60956981715, 47.4433780357]]}']"
33,"['{""type"": ""LineString"", ""coordinates"": [[8.59192822558, 47.4127230589], [8.61927645696, 47.4202020365]]}', '{""type"": ""LineString"", ""coordinates"": [[8.61927645696, 47.4202020365], [8.64927403236, 47.4244333608]]}', '{""type"": ""LineString"", ""coordinates"": [[8.64927403236, 47.4244333608], [8.66343003186, 47.4224509409]]}']"
34,"['{""type"": ""LineString"", ""coordinates"": [[8.69533994266, 47.5186100169], [8.72382110762, 47.5003337739]]}', '{""type"": ""LineString"", ""coordinates"": [[8.71730239668, 47.4924520444], [8.72382110762, 47.5003337739]]}', '{""type"": ""LineString"", ""coordinates"": [[8.72382110762, 47.5003337739], [8.7366727255, 47.5032108613]]}']"
35,"['{""type"": ""LineString"", ""coordinates"": [[8.62622097081, 47.4385705613], [8.66343003186, 47.4224509409]]}', '{""type"": ""LineString"", ""coordinates"": [[8.66343003186, 47.4224509409], [8.68667913161, 47.425812078]]}', '{""type"": ""LineString"", ""coordinates"": [[8.64927403236, 47.4244333608], [8.66343003186, 47.4224509409]]}']"
36,"['{""type"": ""LineString"", ""coordinates"": [[8.89655962127, 47.5581634412], [8.9431748761, 47.5771021176]]}', '{""type"": ""LineString"", ""coordinates"": [[8.89655962127, 47.5581634412], [8.92142469176, 47.5713004902]]}', '{""type"": ""LineString"", ""coordinates"": [[8.84619697706, 47.5478349177], [8.89655962127, 47.5581634412]]}']"
37,"['{""type"": ""LineString"", ""coordinates"": [[8.97455504745, 47.5823436356], [9.01552204188, 47.5881645738]]}', '{""type"": ""LineString"", ""coordinates"": [[9.01552204188, 47.5881645738], [9.06219351655, 47.5828205292]]}']"
38,"['{""type"": ""LineString"", ""coordinates"": [[9.14987662934, 47.5490984371], [9.18369439908, 47.5388040261]]}', '{""type"": ""LineString"", ""coordinates"": [[9.12721647947, 47.5582652474], [9.14987662934, 47.5490984371]]}', '{""type"": ""LineString"", ""coordinates"": [[9.10636820814, 47.5662242454], [9.12721647947, 47.5582652474]]}']"
39,"['{""type"": ""LineString"", ""coordinates"": [[8.75105522894, 47.4987547049], [8.76894718875, 47.5014854284]]}', '{""type"": ""LineString"", ""coordinates"": [[8.76894718875, 47.5014854284], [8.79501719495, 47.4986818858]]}', '{""type"": ""LineString"", ""coordinates"": [[8.79501719495, 47.4986818858], [8.8117191397, 47.5001175338]]}', '{""type"": ""LineString"", ""coordinates"": [[8.8117191397, 47.5001175338], [8.84743599831, 47.5035803874]]}', '{""type"": ""LineString"", ""coordinates"": [[8.84743599831, 47.5035803874], [8.86341151986, 47.4985290889]]}', '{""type"": ""LineString"", ""coordinates"": [[8.86341151986, 47.4985290889], [8.90330136421, 47.4881181293]]}', '{""type"": ""LineString"", ""coordinates"": [[8.90330136421, 47.4881181293], [8.91703206431, 47.4741213563]]}', '{""type"": ""LineString"", ""coordinates"": [[8.91703206431, 47.4741213563], [8.95853624143, 47.4614910495]]}', '{""type"": ""LineString"", ""coordinates"": [[8.95853624143, 47.4614910495], [9.00047421982, 47.4619971136]]}']"
40,"['{""type"": ""LineString"", ""coordinates"": [[9.21484598227, 47.4074212588], [9.25305071952, 47.4118315691]]}', '{""type"": ""LineString"", ""coordinates"": [[9.24065789359, 47.4200890738], [9.25305071952, 47.4118315691]]}', '{""type"": ""LineString"", ""coordinates"": [[9.25305071952, 47.4118315691], [9.300860239, 47.4039294299]]}']"
41,"['{""type"": ""LineString"", ""coordinates"": [[9.25305071952, 47.4118315691], [9.300860239, 47.4039294299]]}', '{""type"": ""LineString"", ""coordinates"": [[9.300860239, 47.4039294299], [9.32965488682, 47.4072028078]]}']"
