Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y,Importance
AAGB,Aarau GB,AAGB,Aarau GB,650,40.309,Killwangen West - Lenzburg - Daniken Ost,SBB,2647397.625,1249489.859,8502136,2136,Aarau GB,http://lod.opentransportdata.swiss/didok/8502136,47.39452913,8.066437931,528983
AAT,Aathal,AAT,Aathal,740,77.38112,Rapperswil - Uster - Wallisellen Ost,SBB,2700290.162,1243636.271,8503124,3124,Aathal,http://lod.opentransportdata.swiss/didok/8503124,47.33595913,8.765625109,174384
ABE,Aarberg,ABE,Aarberg,251,95.49304,Palezieux Est - Lyss Nord,SBB,2587845.752,1210402.487,8504404,4404,Aarberg,http://lod.opentransportdata.swiss/didok/8504404,47.0445413,7.278692539,33291
ABO,Aarburg-Oftringen,ABO,Aarburg-Oftringen,500,43.00505,Basel SBB - Olten - Luzern,SBB,2635502.466,1241150.149,8502000,2000,Aarburg-Oftringen,http://lod.opentransportdata.swiss/didok/8502000,47.32026848,7.90822266,209916
ABOS,Aarburg-Oftringen Sud (Abzw),ABO,Aarburg-Oftringen,452,0.83337,Rothrist - Zofingen (Kriegsschlaufe),SBB,2636164.469,1240407.291,8502013,2013,Aarburg-Oftringen Süd (Abzw),http://lod.opentransportdata.swiss/didok/8502013,47.31355109,7.916919003,153480
ABOW,Aarburg-Oftringen West (Abzw),ABO,Aarburg-Oftringen,451,43.97183,Aarburg-Oftringen - Rothrist Gleis 1,SBB,2635404.732,1240413.368,8508141,8141,Aarburg-Oftringen West (Abzw),http://lod.opentransportdata.swiss/didok/8508141,47.31364694,7.906871784,110458
ALN,Altnau,ALN,Altnau,824,92.91919,Romanshorn - Konstanz,SBB,2737355.627,1276121.225,8506125,6125,Altnau,http://lod.opentransportdata.swiss/didok/8506125,47.62136798,9.265918,84559
ALRH,Altenrhein,ALRH,Altenrhein,880,61.77879,Sargans Ost - St.Gallen,SBB,2758932.131,1261244.738,8515444,15444,Altenrhein,http://lod.opentransportdata.swiss/didok/8515444,47.48274701,9.547509711,129808
ALSA,Al Sasso,ALSA,Al Sasso,606,160.0138,Al Sasso - Al Motto (binario sinistro),SBB,2717375.235,1111705.581,8515374,15374,Al Sasso,http://lod.opentransportdata.swiss/didok/8515374,46.14661133,8.957835398,0
ALT,Altstatten SG,ALT,Altstatten SG,880,41.17789,Sargans Ost - St.Gallen,SBB,2759936.697,1249202.59,8506319,6319,Altstätten SG,http://lod.opentransportdata.swiss/didok/8506319,47.37423481,9.556519923,79100
ARCA,Archy A (bif),ARCY,Archy (bif),166,5.90939,Renens VD Ouest - Lausanne-Triage Est,SBB,2532895.621,1155064.448,8515301,15301,Archy A (bif),http://lod.opentransportdata.swiss/didok/8515301,46.5434936,6.56377168,239526
ARCA,Archy A (bif),ARCY,Archy (bif),168,5.90939,Archy A - Lausanne-Triage Nord,SBB,2532895.621,1155064.448,8515301,15301,Archy A (bif),http://lod.opentransportdata.swiss/didok/8515301,46.5434936,6.56377168,239526
ARCH,Arch,ARCH,Arch,415,90.98034,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2598472.96,1223722.804,8500223,223,Arch,http://lod.opentransportdata.swiss/didok/8500223,47.16446702,7.418489191,0
ARN,Arnegg,ARN,Arnegg,852,18.58709,Sulgen - Gossau SG,SBB,2736772.473,1256158.935,8506211,6211,Arnegg,http://lod.opentransportdata.swiss/didok/8506211,47.4420016,9.252024961,41557
AS,Amsteg-Silenen,AS,Amsteg-Silenen,600,46.54553,Immensee - Bellinzona - Chiasso,SBB,2694192.689,1181832.058,8505115,5115,Amsteg-Silenen,http://lod.opentransportdata.swiss/didok/8505115,46.78100202,8.672105558,25455
ASZW,Amsteg Zugangsstollen West,ASZW,Amsteg Zugangsstollen West,5001,-0.1,Amsteg Zugangsstollen,SBB,2694088.661,1181293.994,8518488,18488,Amsteg Zugangsstollen West,http://lod.opentransportdata.swiss/didok/8518488,46.77617716,8.670632867,0
BAA,Baar,BAA,Baar,660,26.60834,Thalwil - Zug - Fluhmuhle,SBB,2682191.228,1227725.122,8502206,2206,Baar,http://lod.opentransportdata.swiss/didok/8502206,47.19536402,8.523271563,195853
BAER,Barschwil,BAER,Barschwil,230,97.5245,Delemont Est - Basel SBB Ost,SBB,2602890.431,1249997.07,8500112,112,Bärschwil,http://lod.opentransportdata.swiss/didok/8500112,47.40078666,7.476914142,60414
BALT,Baltschieder (Agl),BALT,Baltschieder (Agl),100,135.902,Lausanne - Simplon Tunnel I - Iselle,SBB,2633388.428,1127202.217,8515515,15515,Baltschieder (Agl),http://lod.opentransportdata.swiss/didok/8515515,46.29540445,7.87194871,0
BAV,Bavois,BAV,Bavois,210,24.87822,Daillens - Biel/Bienne,SBB,2532735.272,1171095.884,8501113,1113,Bavois,http://lod.opentransportdata.swiss/didok/8501113,46.68767987,6.559334827,162224
BDFW,Burgdorf West (Abzw),BDF,Burgdorf,440,21.36394,Burgdorf West - Obermatt,SBB,2613441.006,1212255.137,8515377,15377,Burgdorf West (Abzw),http://lod.opentransportdata.swiss/didok/8515377,47.06118378,7.615556177,0
BEX,Bex,BEX,Bex,127,0,Bex - Villars,SBB,2566224.453,1122320.503,8501402,1402,Bex,http://lod.opentransportdata.swiss/didok/8501402,46.25146456,7.000669864,98513
BEZ,Beznau (Agl),BEZ,Beznau (Agl),702,35.64741,Turgi - Koblenz - Waldshut,SBB,2661213.001,1268107.077,8503541,3541,Beznau (Agl),http://lod.opentransportdata.swiss/didok/8503541,47.56082421,8.251975316,66396
BFG,Bifang AG (Spw),RTR,Rothrist,451,44.86,Aarburg-Oftringen - Rothrist Gleis 1,SBB,2634573.761,1240099.749,8516022,16022,Bifang AG (Spw),http://lod.opentransportdata.swiss/didok/8516022,47.31087018,7.89585789,110458
BGS,Brugg AG Sud (Abzw),BGS,Brugg AG Sud (Abzw),648,31.13589,Brugg Sud - Brugg Nord (VL),SBB,2658007.844,1258195.674,8500342,342,Brugg AG Süd (Abzw),http://lod.opentransportdata.swiss/didok/8500342,47.47197772,8.208099411,112705
BIAE,Biel/Bienne Aebistrasse,BI,Biel/Bienne,268,98.84323,Biel Depot Ost - Biel Aebistrasse,SBB,2585613.313,1219980.517,8515304,15304,Biel/Bienne Aebistrasse,http://lod.opentransportdata.swiss/didok/8515304,47.13064979,7.249009523,0
BIBD,Biel/Bienne Bozingenfeld/Champ,BIBD,Biel/Bienne Bozingenfeld/Champ,410,93.98099,Olten - Solothurn - Biel/Bienne,SBB,2589081.665,1223056.272,8518771,18771,Biel/Bienne Bözingenfeld/Champ,http://lod.opentransportdata.swiss/didok/8518771,47.15838228,7.294648067,213152
BIDO,Biel/Bienne Depot Ost,BI,Biel/Bienne,268,98.11,Biel Depot Ost - Biel Aebistrasse,SBB,2586324.021,1220005.013,8515305,15305,Biel/Bienne Depot Ost,http://lod.opentransportdata.swiss/didok/8515305,47.13088523,7.258376055,0
BIO,Biel/Bienne Ost,BI,Biel/Bienne,265,97.62187,Biel Mett Abzweigung - Biel/Bienne Ost,SBB,2586391.131,1220646.806,8515307,15307,Biel/Bienne Ost,http://lod.opentransportdata.swiss/didok/8515307,47.13665949,7.259241122,0
